title,area_code,r_spotId,date,avgTemp,highTemp,lowTemp,rainProb,weather,predict
동문재래시장,11,83.0,2023-11-19,14.5,18,11,10,1,1018.366
동문재래시장,11,83.0,2023-11-18,10.958333333333334,13,8,60,4,1016.0743
동문재래시장,11,83.0,2023-11-20,14.5,17,12,0,1,961.19
서귀포매일올레시장,5,156.0,2023-11-18,11.75,15,9,60,4,958.5063
동문재래시장,11,83.0,2023-11-23,14.5,17,12,40,4,949.729
동문재래시장,11,83.0,2023-11-21,14.5,19,10,0,1,943.70386
동문재래시장,11,83.0,2023-11-24,11.5,13,10,40,4,931.1037
동문재래시장,11,83.0,2023-11-17,10.833333333333334,13,8,60,4,930.15546
동문재래시장,11,83.0,2023-11-15,13.307692307692308,16,11,30,4,918.441
동문재래시장,11,83.0,2023-11-16,13.291666666666666,17,11,75,4,881.3697
서귀포매일올레시장,5,156.0,2023-11-19,14.5,18,11,10,1,869.99225
서귀포매일올레시장,5,156.0,2023-11-17,11.958333333333334,15,10,60,4,863.69946
서귀포매일올레시장,5,156.0,2023-11-24,11.5,13,10,40,4,861.09595
서귀포매일올레시장,5,156.0,2023-11-21,14.5,19,10,0,1,852.9188
서귀포매일올레시장,5,156.0,2023-11-15,15.307692307692308,18,13,30,4,852.69104
서귀포매일올레시장,5,156.0,2023-11-20,14.5,17,12,0,1,836.11395
서귀포매일올레시장,5,156.0,2023-11-23,14.5,17,12,40,4,835.00806
서귀포매일올레시장,5,156.0,2023-11-16,15.333333333333334,19,13,66,4,833.1162
성산일출봉,2,177.0,2023-11-19,13.0,18,8,10,1,720.2922
함덕해수욕장,8,458.0,2023-11-19,14.5,18,11,10,1,717.96155
새별오름,7,149.0,2023-11-19,14.5,18,11,10,1,714.86304
아르떼뮤지엄제주,7,228.0,2023-11-18,10.916666666666666,13,8,60,4,685.90894
새별오름,7,149.0,2023-11-21,14.5,19,10,0,1,671.34064
새별오름,7,149.0,2023-11-20,14.5,17,12,0,1,661.5548
협재해수욕장,10,464.0,2023-11-19,14.0,17,11,10,1,631.0906
함덕해수욕장,8,458.0,2023-11-20,14.5,17,12,0,1,596.2898
새별오름,7,149.0,2023-11-23,14.5,17,12,40,4,591.9616
함덕해수욕장,8,458.0,2023-11-21,14.5,19,10,0,1,589.4648
성산일출봉,2,177.0,2023-11-21,13.5,18,9,0,1,584.9493
성산일출봉,2,177.0,2023-11-20,13.5,17,10,0,1,584.2017
협재해수욕장,10,464.0,2023-11-20,14.0,16,12,0,1,566.39484
새별오름,7,149.0,2023-11-24,11.5,13,10,40,4,557.4438
협재해수욕장,10,464.0,2023-11-21,14.5,17,12,0,1,555.2371
새별오름,7,149.0,2023-11-15,12.461538461538462,15,10,30,4,543.88837
성산일출봉,2,177.0,2023-11-24,10.5,13,8,40,4,527.081
함덕해수욕장,8,458.0,2023-11-15,12.384615384615383,14,10,30,4,524.5931
성산일출봉,2,177.0,2023-11-15,12.923076923076923,15,11,30,4,523.55096
성산일출봉,2,177.0,2023-11-23,14.0,17,11,40,4,522.41327
함덕해수욕장,8,458.0,2023-11-23,14.5,17,12,40,4,522.0167
새별오름,7,149.0,2023-11-18,10.916666666666666,13,8,60,4,521.9356
성산일출봉,2,177.0,2023-11-18,11.416666666666666,14,9,60,4,518.0501
새별오름,7,149.0,2023-11-17,10.083333333333334,12,8,60,4,515.3773
새별오름,7,149.0,2023-11-16,12.583333333333334,16,10,73,4,509.8018
성산일출봉,2,177.0,2023-11-17,10.583333333333334,13,8,60,4,502.22656
성산일출봉,2,177.0,2023-11-16,13.083333333333334,17,10,60,4,497.5589
함덕해수욕장,8,458.0,2023-11-16,12.958333333333334,16,11,72,4,497.50116
협재해수욕장,10,464.0,2023-11-23,15.0,17,13,40,4,469.9055
함덕해수욕장,8,458.0,2023-11-18,10.958333333333334,12,8,60,4,465.50217
