,r_spotId,title,area_code,Unnamed: 0,date,avgTemp,highTemp,lowTemp,rainProb,weather,datetime,month,weekday,season,Unnamed: 0.1,contentsid,predict
741,83.0,동문재래시장,11,102,2023-12-14,16.25,18,13,30,4,2023-12-14 00:00:00,December,3,winter,,,907.49677
1400,156.0,서귀포매일올레시장,5,50,2023-12-16,8.0,8,8,90,4,2023-12-16 00:00:00,December,5,winter,,,894.7247
740,83.0,동문재래시장,11,101,2023-12-13,13.333333333333334,16,11,30,4,2023-12-13 00:00:00,December,2,winter,,,871.32025
739,83.0,동문재래시장,11,100,2023-12-12,12.791666666666666,14,12,60,4,2023-12-12 00:00:00,December,1,winter,,,867.1265
743,83.0,동문재래시장,11,104,2023-12-16,8.0,8,8,90,4,2023-12-16 00:00:00,December,5,winter,,,830.0521
746,83.0,동문재래시장,11,107,2023-12-20,6.0,8,4,40,4,2023-12-20 00:00:00,December,2,winter,,,799.7835
738,83.0,동문재래시장,11,99,2023-12-11,17.75,20,15,65,4,2023-12-11 00:00:00,December,0,winter,,,783.65076
745,83.0,동문재래시장,11,106,2023-12-19,5.5,7,4,40,4,2023-12-19 00:00:00,December,1,winter,,,782.3016
742,83.0,동문재래시장,11,103,2023-12-15,18.5,22,15,90,4,2023-12-15 00:00:00,December,4,winter,,,779.3588
1399,156.0,서귀포매일올레시장,5,49,2023-12-15,18.5,22,15,90,4,2023-12-15 00:00:00,December,4,winter,,,761.8743
1396,156.0,서귀포매일올레시장,5,46,2023-12-12,15.208333333333334,17,13,30,4,2023-12-12 00:00:00,December,1,winter,,,761.6107
1397,156.0,서귀포매일올레시장,5,47,2023-12-13,15.0,17,13,30,4,2023-12-13 00:00:00,December,2,winter,,,757.1642
1395,156.0,서귀포매일올레시장,5,45,2023-12-11,18.416666666666668,20,16,89,4,2023-12-11 00:00:00,December,0,winter,,,753.1665
1398,156.0,서귀포매일올레시장,5,48,2023-12-14,18.95833333333333,21,15,60,4,2023-12-14 00:00:00,December,3,winter,,,741.8297
744,83.0,동문재래시장,11,105,2023-12-17,5.0,6,4,90,4,2023-12-17 00:00:00,December,6,winter,,,732.04877
1403,156.0,서귀포매일올레시장,5,53,2023-12-20,6.0,8,4,40,4,2023-12-20 00:00:00,December,2,winter,,,718.54425
1402,156.0,서귀포매일올레시장,5,52,2023-12-19,5.5,7,4,40,4,2023-12-19 00:00:00,December,1,winter,,,718.3952
1401,156.0,서귀포매일올레시장,5,51,2023-12-17,5.0,6,4,90,4,2023-12-17 00:00:00,December,6,winter,,,709.261
2048,228.0,아르떼뮤지엄제주,7,68,2023-12-16,8.0,8,8,90,4,2023-12-16 00:00:00,December,5,winter,,,677.6235
4117,458.0,함덕해수욕장,8,76,2023-12-15,18.5,22,15,90,4,2023-12-15 00:00:00,December,4,winter,,,533.131
4113,458.0,함덕해수욕장,8,72,2023-12-11,16.666666666666668,18,14,61,4,2023-12-11 00:00:00,December,0,winter,,,488.2573
4115,458.0,함덕해수욕장,8,74,2023-12-13,13.25,15,11,30,4,2023-12-13 00:00:00,December,2,winter,,,482.50165
4116,458.0,함덕해수욕장,8,75,2023-12-14,16.125,18,13,30,4,2023-12-14 00:00:00,December,3,winter,,,482.30447
4114,458.0,함덕해수욕장,8,73,2023-12-12,12.416666666666666,14,12,60,4,2023-12-12 00:00:00,December,1,winter,,,479.7989
1586,177.0,성산일출봉,2,20,2023-12-13,14.5,16,12,30,4,2023-12-13 00:00:00,December,2,winter,,,476.2403
1587,177.0,성산일출봉,2,21,2023-12-14,17.875,20,14,30,4,2023-12-14 00:00:00,December,3,winter,,,475.9347
1585,177.0,성산일출봉,2,19,2023-12-12,13.5,15,12,30,4,2023-12-12 00:00:00,December,1,winter,,,472.20673
1584,177.0,성산일출봉,2,18,2023-12-11,17.75,20,15,65,4,2023-12-11 00:00:00,December,0,winter,,,471.4116
1592,177.0,성산일출봉,2,26,2023-12-20,5.0,8,2,40,4,2023-12-20 00:00:00,December,2,winter,,,469.88495
1591,177.0,성산일출봉,2,25,2023-12-19,4.5,7,2,40,4,2023-12-19 00:00:00,December,1,winter,,,465.85138
2049,228.0,아르떼뮤지엄제주,7,69,2023-12-17,5.0,6,4,90,4,2023-12-17 00:00:00,December,6,winter,,,436.8854
2044,228.0,아르떼뮤지엄제주,7,64,2023-12-12,12.041666666666666,14,11,60,4,2023-12-12 00:00:00,December,1,winter,,,436.46576
4169,464.0,협재해수욕장,10,92,2023-12-13,12.875,16,10,30,4,2023-12-13 00:00:00,December,2,winter,,,431.2358
4167,464.0,협재해수욕장,10,90,2023-12-11,16.583333333333332,19,14,60,4,2023-12-11 00:00:00,December,0,winter,,,429.27994
4170,464.0,협재해수욕장,10,93,2023-12-14,16.833333333333332,19,12,30,4,2023-12-14 00:00:00,December,3,winter,,,424.23352
2050,228.0,아르떼뮤지엄제주,7,70,2023-12-19,5.5,7,4,40,4,2023-12-19 00:00:00,December,1,winter,,,402.3504
2051,228.0,아르떼뮤지엄제주,7,71,2023-12-20,6.0,8,4,40,4,2023-12-20 00:00:00,December,2,winter,,,400.98538
4171,464.0,협재해수욕장,10,94,2023-12-15,18.0,19,17,90,4,2023-12-15 00:00:00,December,4,winter,,,400.64575
2047,228.0,아르떼뮤지엄제주,7,67,2023-12-15,18.5,22,15,90,4,2023-12-15 00:00:00,December,4,winter,,,389.69843
2046,228.0,아르떼뮤지엄제주,7,66,2023-12-14,16.583333333333332,19,12,30,4,2023-12-14 00:00:00,December,3,winter,,,380.78888
4168,464.0,협재해수욕장,10,91,2023-12-12,12.208333333333334,14,11,60,4,2023-12-12 00:00:00,December,1,winter,,,379.5015
2043,228.0,아르떼뮤지엄제주,7,63,2023-12-11,16.833333333333332,20,14,60,4,2023-12-11 00:00:00,December,0,winter,,,374.49258
3662,407.0,카멜리아힐,3,35,2023-12-20,6.0,8,4,40,4,2023-12-20 00:00:00,December,2,winter,,,374.00134
4121,458.0,함덕해수욕장,8,80,2023-12-20,6.0,8,4,40,4,2023-12-20 00:00:00,December,2,winter,,,371.5601
3660,407.0,카멜리아힐,3,33,2023-12-17,5.0,6,4,90,4,2023-12-17 00:00:00,December,6,winter,,,368.46082
3661,407.0,카멜리아힐,3,34,2023-12-19,5.5,7,4,40,4,2023-12-19 00:00:00,December,1,winter,,,368.4458
4120,458.0,함덕해수욕장,8,79,2023-12-19,5.5,7,4,40,4,2023-12-19 00:00:00,December,1,winter,,,365.66574
3659,407.0,카멜리아힐,3,32,2023-12-16,8.0,8,8,90,4,2023-12-16 00:00:00,December,5,winter,,,363.6956
1589,177.0,성산일출봉,2,23,2023-12-16,7.5,8,7,90,4,2023-12-16 00:00:00,December,5,winter,,,363.3617
3656,407.0,카멜리아힐,3,29,2023-12-13,14.041666666666666,17,11,30,4,2023-12-13 00:00:00,December,2,winter,,,363.15454
2045,228.0,아르떼뮤지엄제주,7,65,2023-12-13,13.041666666666666,16,11,30,4,2023-12-13 00:00:00,December,2,winter,,,361.77878
